age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
3.0,4.0,6.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,46.0,10.0,0.0
3.0,4.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,46.0,10.0,1.0
0.0,4.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,72.0,1.0,1.0
0.0,4.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,72.0,1.0,0.0
0.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,72.0,1.0,1.0
0.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,72.0,1.0,0.0
0.0,4.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,72.0,1.0,1.0
0.0,4.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,72.0,1.0,0.0
8.0,24.0,4.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,36.0,0.0,1.0
8.0,24.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,36.0,0.0,0.0
0.0,24.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,67.0,1.0,1.0
0.0,24.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,67.0,1.0,0.0
0.0,11.0,0.0,0.0,2.0,3.0,-1.0,2.0,0.0,1.0,1.0,72.0,1.0,1.0
0.0,11.0,0.0,0.0,2.0,3.0,-1.0,2.0,1.0,1.0,1.0,72.0,1.0,0.0
0.0,4.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,67.0,1.0,1.0
0.0,4.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,67.0,1.0,0.0
0.0,4.0,0.0,0.0,2.0,3.0,0.0,2.0,-1.0,1.0,1.0,72.0,1.0,1.0
0.0,4.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,72.0,1.0,0.0
