age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,35.0,0.0,33.0,5.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,35.0,0.0,33.0,5.0,1.0
4.0,0.0,6.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,68.0,0.0,0.0
4.0,0.0,6.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,68.0,0.0,1.0
9.0,0.0,12.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,55.0,0.0,1.0
9.0,0.0,12.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,55.0,0.0,0.0
5.0,0.0,8.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,54.0,0.0,1.0
5.0,0.0,8.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,54.0,0.0,0.0
0.0,4.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,6.0,69.0,2.0,1.0
0.0,4.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,6.0,69.0,2.0,0.0
0.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,6.0,69.0,1.0,0.0
0.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,6.0,69.0,1.0,1.0
5.0,24.0,12.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,54.0,0.0,1.0
5.0,24.0,12.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,54.0,0.0,0.0
0.0,4.0,0.0,3.0,2.0,3.0,4.0,0.0,0.0,1.0,6.0,69.0,2.0,1.0
0.0,4.0,0.0,3.0,2.0,3.0,4.0,0.0,1.0,1.0,6.0,69.0,2.0,0.0
0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,54.0,1.0,0.0
0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,54.0,1.0,1.0
3.0,0.0,12.0,0.0,2.0,2.0,0.0,1.0,-1.0,1.0,3.0,68.0,0.0,0.0
3.0,0.0,12.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,68.0,0.0,1.0
5.0,0.0,8.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,54.0,0.0,0.0
