age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
7,51,22,10,0,3,0,4,1,60,22,48,91,1
6,69,9,4,1,71,3,4,1,32,27,70,14,0
5,24,52,7,1,67,5,3,1,71,27,40,97,1
5,67,62,6,6,25,3,1,1,72,10,68,15,1
8,17,23,0,3,57,0,2,0,70,42,92,79,1
2,76,12,7,4,54,4,4,1,82,14,65,53,1
1,86,17,2,4,50,0,2,1,67,30,82,14,1
7,19,68,1,3,3,0,0,1,53,42,87,51,0
9,24,10,14,4,78,5,0,0,1,39,93,42,1
3,40,2,0,1,25,5,0,0,98,10,53,28,1
7,50,74,6,4,15,5,1,1,16,28,17,81,0
7,40,30,5,5,12,4,1,0,47,38,26,60,1
1,22,20,12,6,99,0,3,1,47,35,85,68,0
9,40,42,2,5,7,3,3,1,73,3,1,32,1
4,46,17,4,5,81,3,3,1,18,15,25,33,0
7,94,53,9,2,78,5,3,0,79,10,46,77,0
2,98,42,6,6,3,4,4,1,28,27,89,63,0
7,48,14,3,3,92,3,0,1,7,33,57,21,1
2,13,43,15,3,89,1,1,1,92,18,60,22,1
3,54,64,8,0,67,0,4,1,91,22,2,9,0
4,12,34,2,2,5,2,2,1,12,32,91,91,0
7,53,40,0,3,60,5,1,0,53,15,47,77,0
1,46,1,7,4,51,0,4,1,70,14,31,80,1
1,30,5,4,2,36,5,4,0,63,20,91,31,1
5,41,45,3,3,30,2,1,0,32,3,98,73,0
9,84,60,4,1,72,0,2,0,66,40,9,52,0
6,54,43,3,4,43,5,4,0,23,32,73,45,1
7,69,49,7,0,91,2,0,1,76,0,77,43,1
1,92,58,11,1,88,3,0,0,72,29,75,80,1
8,67,26,11,4,48,4,0,0,29,40,37,21,0
3,64,49,1,2,23,5,3,1,33,38,73,29,0
1,1,22,0,3,17,1,3,0,55,38,27,63,0
8,73,15,9,1,9,5,0,0,91,30,61,72,0
2,54,65,1,3,39,1,2,1,38,18,99,78,0
6,98,63,1,1,28,4,1,0,26,31,38,16,1
