age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,36.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,36.0,5.0,1.0
5.0,1.0,11.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0
5.0,1.0,11.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,40.0,0.0,1.0
3.0,1.0,12.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0
3.0,1.0,12.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,40.0,0.0,1.0
0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,36.0,5.0,0.0
0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,36.0,5.0,1.0
3.0,1.0,14.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,46.0,5.0,1.0
3.0,1.0,14.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,46.0,5.0,0.0
0.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,1.0,1.0,0.0,36.0,5.0,1.0
0.0,0.0,0.0,0.0,-1.0,3.0,0.0,1.0,0.0,1.0,0.0,36.0,5.0,0.0
0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,2.0,55.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,1.0
0.0,35.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,14.0,55.0,4.0,1.0
0.0,35.0,0.0,0.0,2.0,8.0,2.0,0.0,1.0,0.0,14.0,55.0,4.0,0.0
0.0,57.0,0.0,0.0,2.0,8.0,0.0,2.0,1.0,0.0,14.0,55.0,2.0,0.0
0.0,57.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,14.0,55.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,-1.0,1.0,0.0,36.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,36.0,5.0,1.0
9.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0
9.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,40.0,0.0,1.0
0.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0
0.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,40.0,0.0,1.0
0.0,57.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,2.0,55.0,4.0,0.0
0.0,57.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,55.0,4.0,1.0
3.0,0.0,6.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,40.0,6.0,0.0
3.0,0.0,6.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,40.0,6.0,1.0
3.0,0.0,12.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0
3.0,0.0,12.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,40.0,0.0,1.0
4.0,1.0,12.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0
4.0,1.0,12.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,40.0,0.0,1.0
0.0,57.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,55.0,4.0,0.0
0.0,57.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,55.0,4.0,1.0
0.0,1.0,0.0,9.0,2.0,38.0,1.0,2.0,1.0,0.0,0.0,68.0,42.0,1.0
0.0,1.0,0.0,9.0,2.0,38.0,1.0,2.0,0.0,0.0,0.0,68.0,42.0,0.0
0.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,55.0,0.0,0.0
0.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,1.0
0.0,1.0,0.0,0.0,2.0,5.0,0.0,2.0,1.0,0.0,2.0,55.0,1.0,0.0
0.0,1.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,2.0,55.0,1.0,1.0
0.0,2.0,5.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,1.0,16.0,9.0,0.0
0.0,2.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,16.0,9.0,1.0
0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,55.0,1.0,1.0
0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,55.0,1.0,0.0
3.0,1.0,13.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,46.0,5.0,0.0
3.0,1.0,13.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,46.0,5.0,1.0
0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,55.0,0.0,0.0
0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,1.0
2.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,1.0,0.0,2.0,55.0,5.0,1.0
2.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,2.0,55.0,5.0,0.0
0.0,1.0,18.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,40.0,0.0,0.0
0.0,1.0,18.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,40.0,0.0,1.0
