age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
6.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
6.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
2.0,1.0,19.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,36.0,0.0,1.0
2.0,1.0,19.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0
5.0,0.0,6.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
5.0,0.0,6.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,34.0,5.0,0.0
0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,34.0,5.0,1.0
0.0,2.0,6.0,1.0,1.0,8.0,5.0,0.0,1.0,0.0,0.0,60.0,5.0,1.0
0.0,2.0,6.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,60.0,5.0,0.0
0.0,4.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
0.0,4.0,0.0,5.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
5.0,0.0,0.0,6.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
5.0,0.0,0.0,6.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,34.0,5.0,0.0
0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,34.0,5.0,1.0
5.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
5.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,34.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,34.0,5.0,1.0
5.0,0.0,0.0,6.0,2.0,3.0,4.0,1.0,0.0,0.0,-1.0,51.0,1.0,0.0
5.0,0.0,0.0,6.0,2.0,3.0,4.0,1.0,1.0,0.0,-1.0,51.0,1.0,1.0
1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,70.0,0.0,1.0
1.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,0.0
5.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,51.0,0.0,1.0
5.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0
6.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
6.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
2.0,1.0,19.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,36.0,0.0,1.0
2.0,1.0,19.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0
5.0,0.0,6.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
5.0,0.0,6.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,34.0,5.0,0.0
0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,34.0,5.0,1.0
0.0,2.0,6.0,1.0,1.0,8.0,5.0,0.0,1.0,0.0,0.0,60.0,5.0,1.0
0.0,2.0,6.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,60.0,5.0,0.0
0.0,4.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
0.0,4.0,0.0,5.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,60.0,0.0,1.0
5.0,0.0,0.0,6.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0
5.0,0.0,0.0,6.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,51.0,1.0,1.0
0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,34.0,5.0,0.0
0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,34.0,5.0,1.0
5.0,0.0,0.0,6.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0
5.0,0.0,0.0,6.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0,51.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,34.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,34.0,5.0,1.0
