age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
2711684209596359.0,2344092665287094.0,2183579632303596.0,5051279946319331.0,6257788732360230.0,3171389187625579.0,1475640292634823.0,6769314911670650.0,3540414509941038.0,5406412131271465.0,1920524475146241.0,2915617326858937.0,2798652612189778.0,1.0
7241136484416529.0,9252127057634440.0,5279561052286755.0,2583624795121749.0,5012399784330790.0,6352845152728639.0,198341479773128.0,9330762184530486.0,5045377740900240.0,3419507915162986.0,5728945251237174.0,8479644970729682.0,9332877502919724.0,0.0
625005740413966.0,7255278838350652.0,135861746564792.0,4931329167576055.0,9742427566313274.0,3984303893865095.0,7902329355634654.0,4820650643476454.0,9261406585816608.0,8474832661870534.0,741518343323286.0,4147349362331622.0,9713995157684844.0,1.0
5946441724719695.0,199972360742270.0,6745928087143367.0,3422201901987117.0,1997451922543330.0,2839862800756157.0,4418242017402135.0,6882574903368262.0,9197152564890440.0,2411500971931942.0,7216794876805937.0,25314285715380.0,5517691446504701.0,1.0
1612446905789201.0,5735565834579069.0,3049148984880582.0,9508208013672540.0,517164111605172.0,4711911265092368.0,1049335006276282.0,5478723710996086.0,2044860552725323.0,3862426822176397.0,5953875218562953.0,1379683143560324.0,9621865659324678.0,1.0
8679269607856739.0,2538251530470775.0,7508730560802372.0,3913313165259694.0,8440956469278227.0,3951125902183752.0,58408244801312.0,8944817078929890.0,764487175721285.0,6519891620478746.0,1815401992382597.0,154265710053271.0,3932794374887088.0,1.0
252152089021947.0,6405351090934294.0,3791340241558104.0,2469806886555832.0,3727089723280311.0,5088354576196869.0,4550779430214459.0,9703058924683996.0,619841346555267.0,6885397143177830.0,2462617591024301.0,6733516141687455.0,3605022019600892.0,1.0
5656783205870852.0,6547441975755608.0,7795411872583244.0,7855308186803564.0,3422159123268466.0,6734914172088783.0,1511436229554527.0,6106020182981065.0,381961832146178.0,2192908583187538.0,6106480886623593.0,1887019413446624.0,3199478576332388.0,0.0
3160312507432521.0,1067487666496278.0,6250578829150535.0,8987742774975143.0,7665465519307028.0,8762385676542009.0,3843945838875531.0,8340352814165795.0,5648716377595061.0,5203245545639183.0,1671685014298604.0,2934383019887621.0,3917536612873713.0,0.0
8978314399842287.0,744445023280597.0,8851675030084471.0,9741545465816936.0,455883499369653.0,9300609568939480.0,6900054260731564.0,7155647517896689.0,1850088960320914.0,965675037037167.0,9819466371901648.0,7969311385821889.0,6422791814913543.0,1.0
9238020267315908.0,8846410890827918.0,5980006219399839.0,3083184113582083.0,6227731719823035.0,9378513915700328.0,7814454106732207.0,4666893480986995.0,9917606402335626.0,601842631669163.0,1797382186058102.0,8325383988191302.0,4676508446459619.0,0.0
9779886014263656.0,9535937996891840.0,2444359718664728.0,1273861414165554.0,2709415330630255.0,3596027090585417.0,3880974375485963.0,4256824891014679.0,1389137789363804.0,5887858366604293.0,7141204973188552.0,3633630469322900.0,648334347010664.0,1.0
594434550181513.0,2115369125253331.0,4131706193521871.0,3896578367199233.0,4331376441614851.0,3750836300762091.0,6321270837060641.0,8553747953385168.0,7139678151612787.0,7984820858695096.0,3653373738249796.0,5760987739895503.0,1709798953478543.0,1.0
7002701756149300.0,5381278081723733.0,365985371798415.0,1705625083457622.0,2049171339605007.0,628979151187968.0,5241840254039797.0,2725195266972355.0,7761519132318414.0,490580022389501.0,8753104001959762.0,882285460324308.0,8456931421054738.0,1.0
2225816974483806.0,31460117998564.0,2104835661521800.0,4304672025688835.0,9541480436565126.0,7005956854555291.0,1533546191593920.0,8625278122230817.0,3580498252898749.0,8477280463007935.0,4401601412678811.0,2396762468912192.0,271084550756023.0,1.0
3699800030554855.0,8135382962266128.0,2311736689564144.0,4255443608209352.0,6703545374120170.0,3864611494341423.0,2955367285601639.0,8369623180023092.0,3523650649659634.0,5925858457883229.0,7023391348915519.0,110567816661799.0,1678410509833143.0,1.0
1462488426656471.0,9593834869294220.0,6947627021088556.0,5708407565968812.0,3607183231059204.0,3485632288892193.0,8154351047192674.0,7614968235515292.0,8827690852676141.0,141398921116293.0,3947171231594127.0,9367466953125892.0,8586531921745606.0,0.0
5229249350529941.0,4455417599476516.0,8253003330565655.0,1649275821423898.0,1713889764436940.0,1142000726682486.0,5296825886115015.0,631870627299145.0,5765978566779702.0,3220664037240676.0,8126230185588940.0,2856107218550469.0,8586189408340184.0,1.0
275634540682040.0,5252253486064568.0,2794020666252147.0,1390508988127497.0,7661113154048770.0,6462313987284055.0,2923575077783475.0,3180601227189375.0,82672641517308.0,8184485580112081.0,423080366476202.0,5421830901269853.0,3967621317941427.0,1.0
6928111765674140.0,8138562681726310.0,4726506237229356.0,8266146192192646.0,7915206811354901.0,650948222996070.0,6671620669246741.0,2628734346808785.0,8318655245781807.0,5503249197242297.0,3451078819530312.0,7948634656785388.0,7029545881460142.0,1.0
5847220601480335.0,4419198900094458.0,3145268940186929.0,4381787118248760.0,1105227938195426.0,5499361051896604.0,9662737556925852.0,3859405750583183.0,3217402714485425.0,5513077227192584.0,5111461822269689.0,8614956702941019.0,5556520601316806.0,1.0
3583633292082566.0,9074100475260380.0,2298207706213421.0,8197203503679928.0,3338833239526068.0,9626041936180590.0,5376596763280394.0,2244203893929431.0,3530870544043600.0,5159810163540431.0,2106348228853973.0,673593205278061.0,2812981385397384.0,1.0
1594608397100347.0,1235063388804982.0,108051828578637.0,4739805654444393.0,8169463715866118.0,3004192912730926.0,4510251029576182.0,4315860687546956.0,6290612906077648.0,1254416672808193.0,6819156569976544.0,4179644863390351.0,7135885743024652.0,0.0
5307932180382281.0,1533860065389731.0,4766283151190923.0,6731789101857939.0,6277943363556218.0,8676139536041022.0,5525528979560936.0,5528949488736572.0,4405956100163541.0,6987551144606405.0,8852955600024456.0,9790521210558820.0,9762140267349096.0,1.0
4571657975781606.0,4040686299476258.0,1005083876573519.0,7296332662155492.0,1242110719832610.0,6493728388252110.0,2184688663004581.0,5268119655483778.0,4940891600039832.0,1995247846127662.0,5654540715949535.0,9458086747355158.0,2013746447568007.0,1.0
7392929417717619.0,4626315658529868.0,1128620966043232.0,8361317728788023.0,2025405726228820.0,5238651216808443.0,3610138810496866.0,5984200996705867.0,4233988998188634.0,4616264684949767.0,8450110503096842.0,1767953558298910.0,9988898727080832.0,1.0
6829738062543358.0,3752081604889413.0,6966731246259691.0,501040841573761.0,108499752099625.0,1576528784367532.0,3724070837302188.0,6318398027522507.0,4486120634679703.0,2037630594908922.0,58717495851158.0,9119200443081556.0,4135935143498434.0,0.0
9820350866200718.0,1917885427888281.0,5532954966686297.0,1732107612421032.0,8414010460049739.0,4983880870121808.0,8647112046670472.0,8418355437562643.0,9543986663523768.0,3025175612467652.0,2695303539998722.0,4331255884965752.0,3593719149217292.0,0.0
3137084850292092.0,3287284503999867.0,2203071861247077.0,1614165903585671.0,6423747697201490.0,6773985255290025.0,2857192518754621.0,3394136538043824.0,1938217891492580.0,6363463222081167.0,2498025919661452.0,9739913495396950.0,9743579912447058.0,1.0
