age,workclass,fnlwgt,education,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,Class
1720476717788801.0,7745563125389554.0,2067574519062742.0,2050052932712680.8,3642026105589095.0,6108198480525852.0,9521226390157558.0,7759546746033858.0,1916809239930980.8,3838646221368309.0,5550175173915700.0,2180388997979475.2,5898053858925772.0,0.0
3023280064158910.0,1084874325334165.0,6918599453590779.0,1728173024757311.0,5396779176050868.0,5952168741883058.0,9169754314005292.0,9358930888778244.0,1741962349697662.0,6579931335350480.0,7796124193303891.0,2233726845212280.0,6704238582236402.0,1.0
5161339731612960.0,4355916017249340.0,9839837092258832.0,4947698250771775.0,282801675152130.0,9399811297789344.0,6207100595509860.0,8023943350211970.0,7826048583111814.0,3932022083970439.0,7063258159699163.0,6824561364291199.0,1967178618424536.0,1.0
4972461937894236.0,3811453618027953.5,1291183157631816.0,721752472602260.0,716458520464428.0,2789231019005831.0,6810406246865144.0,693488769395459.0,3053067112361063.0,6502164104543769.0,4062340273047737.5,4306995834416751.0,9752689597966140.0,1.0
4874097260993104.0,5454142601585287.0,943676714788951.0,7868419384399310.0,8671240991578136.0,7492649847533099.0,4869807903362304.0,8668747612846634.0,2986873091285804.0,6449327642646342.0,3235746395662501.0,7920723998149342.0,2853879023396110.0,0.0
2839337009017825.0,3860527123107303.0,4297259015928857.0,7549042010420333.0,8755784084766648.0,7995342460658112.0,3701972155213660.0,6542484153579116.0,4823705003834640.0,6219954072977895.0,926470990017663.0,8630583867731469.0,1824516880357836.8,0.0
198471467652307.0,6937962524886182.0,85189742410707.0,4462623345373075.0,5288263174635515.0,3109313609679686.0,9500135641353844.0,8924193278533344.0,4417138082488767.0,3752272313878.0,3981513176624096.0,5187456129053157.0,2699885633643814.0,0.0
4106650866856509.0,6472693639139924.0,7994684066829331.0,8533647049800349.0,9301273935726294.0,9875714855566096.0,6956960553811480.0,2903404432766233.0,6054347875252361.0,6676017484711602.0,4839832385042997.0,8481112421408698.0,9279633715498430.0,1.0
2157134362116723.2,1050548829276478.0,4000748268589417.5,2160429672753204.0,8286722071345382.0,1660765860388658.0,7919514338695066.0,3302838478482917.0,6674474012063729.0,2905417841998527.0,8675210754861530.0,8226405923404962.0,4294081145804441.5,1.0
1277498861927454.0,9564200347246894.0,8040031074769686.0,7585641795049882.0,7815344704225106.0,2742945685109104.0,2043923549959348.0,3720435965597332.0,5939548105700154.0,7335805291724827.0,6892823075538258.0,4489673387966873.0,9853359911060034.0,1.0
8544475179381805.0,9601352911240404.0,5267414583647997.0,1947616222466248.8,9132704542930024.0,8925936795838630.0,5346166801227663.0,9866278274767472.0,8168443064205410.0,7594155608871722.0,9264001368978296.0,5343220662911469.0,9010518050214108.0,1.0
4074401850679280.0,8118525293448006.0,5522239430829288.0,2269459916561256.0,626187597103452.0,9108989727703184.0,4916211712830850.0,210485480457527.0,526893813059989.0,1094164344783246.0,4560702878384819.0,1555411415706850.0,7334428033705672.0,0.0
4586449310907510.0,749502369470059.0,432434113559264.0,2896675412470923.0,4383550029841569.5,7367969032084440.0,8701892711380976.0,7423377965491014.0,3804265770711249.5,3522324549740650.0,1269254151137807.0,9914957253442144.0,8622334683642824.0,0.0
5949002982087754.0,3604787555883088.0,5425472289186197.0,3161624455935168.0,5473975071537060.0,5641086649128516.0,7054757766356157.0,5564166437182288.0,4019687409244957.0,9754897314847020.0,3194059468602785.0,5603564825693742.0,4475617872702963.0,1.0
7720006796061110.0,206255998283470.0,3117805257620716.0,4901187236600780.0,1159087598937373.0,6134055400990463.0,4366619985585297.0,3439016447184015.0,4505257454509366.0,63808852784369.0,5650721434177118.0,4013329417105204.0,7720235110782542.0,0.0
5263959918831605.0,64206700269566.0,9962652135284508.0,1004690288554270.0,7278396563726755.0,7453892072790034.0,1745963155297698.0,4136765791726321.0,5355707631882244.0,5845791646966613.0,8688414635597726.0,1064986359786891.0,6630559043844568.0,1.0
8523026502503654.0,4936120041218637.0,9022773454537332.0,3729163661844729.5,7105882287664226.0,6914206961137275.0,4170986954389313.5,1535521706761722.0,3252730974428114.0,8960617373709789.0,2110382354033376.0,4522126445097196.0,7772295595689019.0,1.0
48987546847826.0,7998192020077718.0,9612487514355080.0,781449261442089.0,9198924776287720.0,9647072919537646.0,9005006562650283.0,9802407066040500.0,862488994536137.0,5271564734836810.0,7640667263516019.0,460382369006196.0,2792957367152750.0,0.0
6622191494115139.0,267545712687388.0,9834656266161918.0,669746151189837.0,4167767336138032.0,1439513378142553.0,8786418230405795.0,2978293316654467.0,4546132845798123.0,7616382940069194.0,9686101449168296.0,5696412789169819.0,3662963215360799.0,1.0
8008153708525974.0,3162377913020831.0,7156236179211272.0,4269452501776159.0,5091739370811676.0,9390099168655888.0,5386121481245364.0,9262890800266926.0,1660927996917131.0,2434853891628695.0,5411802227323358.0,1863735537472428.8,8492118627726310.0,0.0
4762254223564092.0,5185803000722110.0,9723128904193248.0,174228144804815.0,9702502794696296.0,1421960305607946.0,336164626218314.0,9148868341204206.0,2488468084208613.0,1286345803968685.0,6065680179360835.0,5270215009194742.0,3341803376712666.0,0.0
7466518068548550.0,368994150951372.0,7144460136892164.0,2282730949635398.0,2172074404634247.2,1230141678920720.0,2670415084597863.0,2464179967699093.0,1494810729668002.0,6298221302761877.0,8615792390942520.0,3380665199872821.0,1600983162322591.0,1.0
7639238194747006.0,9006637123068053.0,7976512425830859.0,8579206991172266.0,8695710732473154.0,4306146072945016.0,1129463844753175.0,1980816185400428.0,5730596614322006.0,2199247321084094.0,6544260290223482.0,968885477172460.0,3389390563643821.0,0.0
9191718704881024.0,7497253809820504.0,4453688528395529.5,1903299205975360.0,5764737588907080.0,8715243716407405.0,34375918048229.0,7140071040132670.0,1222596440100676.0,888099966346953.0,651905344820512.0,7447833406487715.0,1700431131032277.0,0.0
3254747282974087.0,6405330417730664.0,274359596697242.0,7109783112072887.0,4797412784674517.0,7945922699317474.0,5152605706920116.0,26921965933005.0,4343457775963691.0,4417812171855327.0,1836463072406984.0,3067486873512984.0,2112685549458052.8,1.0
8625211976109478.0,7409066594059981.0,9769558051980992.0,3984593635023515.0,8024054898480734.0,870538659408061.0,6821292711742772.0,3279495128432715.0,1694274515493582.0,7821393959799912.0,6662775811595124.0,6587090466584948.0,3965681012573124.0,1.0
7339300271127890.0,321389697862884.0,2964145242442085.0,9840461702992116.0,2660866829591438.0,3223558794961251.0,362764863113755.0,6502090607060504.0,844663210398135.0,5353848903508152.0,5854199495663866.0,5759316115918339.0,7996363355224454.0,1.0
5442421926937206.0,7471244880155261.0,7162345384496170.0,6652744487929755.0,5038591001047387.0,9719228352891388.0,8731618075547726.0,4984663109289829.0,6257148353768295.0,9203896738776554.0,6662811486354866.0,1446621733842406.0,4616139066245379.0,1.0
6247635474759665.0,8613952128582611.0,3043800408171737.0,1555883858707834.0,9715700152288272.0,8536861327241890.0,2946576046393151.0,9152887825082210.0,3500992370659306.0,9650678965371988.0,5772054783251111.0,8732395469830397.0,1358103979768747.0,1.0
7993943537867126.0,163139588877042.0,6340592411570280.0,272617487461167.0,4085201347068673.0,1791211659766250.0,8543825027083618.0,3993679828967143.0,9036121483241480.0,8200696612499758.0,1700949281000268.0,3165428761675552.0,3644023118592043.0,1.0
7415137630683306.0,4821603128492302.0,9046442562050168.0,9926556014016160.0,3413088911681061.0,4282545440850057.0,7687294070061594.0,40610931763.0,2408467665625537.0,7115087019169406.0,6231366689737125.0,2930645589276001.0,7817235828984995.0,1.0
2066050815180482.0,2040610022986579.2,9039116595427046.0,6209589467867335.0,292055916696576.0,217178219874120.0,5589676398110617.0,7738496170937861.0,6198969288655225.0,4828757420213133.0,1991606376615784.0,6534677311761637.0,7182784825194052.0,1.0
915589030880346.0,7810800892547352.0,2084707501442786.0,7010438314475415.0,3530408690270918.0,6962703145765257.0,9433576085559816.0,4027065950722031.0,5908798849796074.0,1581224601250926.0,3515017504907183.0,6215322574728990.0,2766229774494232.0,0.0
504206576949820.0,4053044578068345.0,6601580104161964.0,9294238614766924.0,3421115932637767.0,7246515385731408.0,9454065174435520.0,1440787664486827.0,3996178847462556.0,6320431776109028.0,9093005586545724.0,7198561011450658.0,885823637383339.0,1.0
2084968160821572.8,7195542644363404.0,7460450385851768.0,9136901330941120.0,3885253307910124.0,2573765477213413.0,3384942078317759.0,8024392748595003.0,4169132738995519.0,5402651033903424.0,4931285244772632.0,4559999193807749.0,9898367168935200.0,1.0
1235529311171381.0,5657222407081491.0,9180723689452494.0,5631323960782963.0,2168419440368019.2,9768533766190748.0,8880167477412398.0,2647617737245741.0,8289416581207424.0,1300133556764084.0,9597487321380024.0,6883509389697977.0,3236361303621728.0,1.0
6131730179853843.0,6924818582245635.0,8044848028802739.0,1297739947432683.0,9600752406273544.0,8859567954963778.0,1225615320063403.0,1082173832684306.0,9538607474461112.0,4876435928720801.0,7096464220003717.0,5396051444315517.0,5125661065785089.0,1.0
7735439901853536.0,8895407899009357.0,9040186502375814.0,7718199338931598.0,5804435744280805.0,4167932645020459.0,8285193625140446.0,7587129783016115.0,7281654043433664.0,4254485945134057.0,9899101362732670.0,4752805650504726.0,7148514835300045.0,1.0
1985784076966042.0,835442127916279.0,914988178424766.0,5007260125269334.0,5200562753307274.0,5357058547303174.0,1018560258989263.0,8138879223349402.0,5014644128700540.0,176437174596161.0,9431231840662740.0,4355516968756451.0,4091009089439253.0,0.0
8318353069250358.0,1521791024565757.0,1950926360318707.2,2296706458369736.0,4566488045279026.0,1893977358367136.0,1683055597579044.0,3438209617668289.0,9601791362745864.0,605345059604725.0,4643362656905495.0,6803814173578644.0,6008406954332633.0,0.0
950824896476220.0,6465179263647152.0,2424194080300667.0,7701165134682662.0,652675320416323.0,4954313302096653.0,9424613585010020.0,3885012940894872.0,2972072093147715.0,94901076271379.0,5538010576321332.0,2843426634700680.0,2822087179446423.0,0.0
6360824037261257.0,9509163342218812.0,4942517731338223.0,4215171572232293.0,9361149478220458.0,8580339526060570.0,8441750183836648.0,4141671278446211.0,6934060484803206.0,9916977716291986.0,9603705483094718.0,3256245489515100.0,133149520525353.0,1.0
6563670512024990.0,6441628609589388.0,8035729803824222.0,3536894081909448.0,2067850968123438.0,7004910615463814.0,8992093493061645.0,1463790869278503.0,4209117529025472.0,5732117808814838.0,1952291526665375.2,7562235920545627.0,5721601050415774.0,1.0
7574001580233878.0,8960846632497067.0,3804802657268424.0,869260005856702.0,8062525335662942.0,3205284228389149.0,8266982189340739.0,8747359167061054.0,9386590092861504.0,4977119469171134.0,7387670471685166.0,908464696919825.0,8506344658823789.0,0.0
6373254507350611.0,650307806001171.0,4070004006078245.0,3928587881687231.0,1304424061960460.0,6178232244763993.0,2162543152403022.0,7560704895397734.0,675927081750431.0,3650889088901545.0,3229309017979075.0,3057790025157012.0,6518769864478971.0,1.0
6058931136887692.0,5151995543512956.0,4756608916308463.0,5689632474643902.0,1814511166896428.8,1446084859664907.0,6943955204672064.0,2118549374297179.2,7653017717863720.0,4023951824124631.0,162900806488055.0,5921941131316107.0,4052567930631479.0,1.0
7310586613313981.0,185595607404542.0,9033321932441284.0,4633962385766241.0,6007294703339780.0,1547467131073379.0,8942718572583251.0,9321580851165036.0,6898798212249854.0,2637866364491968.0,5854899469134349.0,1582804655116884.0,9653874996746452.0,0.0
4353635986668757.0,9191389478712484.0,727309039355864.0,7399442588917570.0,8222956125577186.0,6251308317982380.0,6008283310865228.0,9330857254969532.0,4493925435157863.0,9627487163689636.0,9208413864155254.0,9348541574590492.0,451589929963591.0,1.0
280635368290036.0,388350281181880.0,2771289619662599.0,935893000121568.0,747375110996667.0,9965850243005756.0,4449220016761361.5,7504695769023690.0,7073688880451193.0,1028555729952070.0,9982844109879890.0,6421266250862195.0,8569951903069038.0,1.0
2410514043554766.0,5664371684510823.0,9065580358660332.0,3740604769646544.0,474673469481543.0,2759012599067748.0,8766131825274310.0,8331589503642662.0,352477304298199.0,3728743557682727.0,4026420960897660.0,6794016137281710.0,9409802600773240.0,1.0
9007784002870964.0,5518563115431214.0,1506942498000541.0,2140899201561723.2,1091960830558726.0,7523582665044829.0,1299062580490908.0,1088375303722545.0,9322951546320632.0,5378982082166277.0,8972409936547562.0,9159958999801440.0,6665311470248147.0,1.0
1047030851342473.0,4608717202873311.0,7428636548733824.0,1343745861347111.0,8859323462254598.0,708637962649618.0,8292569585552208.0,155025548539549.0,8740580132208061.0,1316162656456935.0,3432156613314462.0,4118950724285129.5,6041313792404756.0,0.0
3827846950357087.0,466449194119859.0,9431202190185300.0,9782375572823644.0,5654378333096247.0,9706633011277440.0,2565929028042255.0,4615261295995020.0,866786285640506.0,8936859652016621.0,8645356496207666.0,6354811953728258.0,8856321427690882.0,1.0
9138506139841304.0,602256484064800.0,9260574833692226.0,1947333507079276.8,7937410790441822.0,5909207367146620.0,9324579863693656.0,6105371854606914.0,4130741869921169.0,2024810603930200.8,5880451116591883.0,6232791357784920.0,5532454031544711.0,0.0
